Metadata recorded on file <unknown> with quasarscan version <unknown> on date <unknown> (before version 3.0.1)
a, center_x, center_y, center_z, L_x, L_y, L_z, bulk_velocity_x, bulk_velocity_y, bulk_velocity_z, Rvir, Mvir, Lmag, sfr, Mstar, Mgas, compaction_stage
0.1, -0.181489, 0.248167, 59.2377, -0.584251, 0.687467, 0.431324, 31.3998, 0.351524, -0.584251, 7.75, 13280600000.0, 44.5207, 0.705147, 43060200.0, 1141410000.0, pre
0.11, -0.0140659, -0.0219019, -8.48998, -0.323783, 0.694013, 0.643048, -21.558, -3.31878, -0.323783, 9.75, 18816800000.0, 10.8853, 0.838486, 119721000.0, 1378470000.0, pre
0.12, 0.264027, -0.236434, 7.16919, -0.589228, -0.198878, -0.783108, 22.1696, -10.0105, -0.589228, 12.0, 27402700000.0, 17.9352, 0.643366, 186439000.0, 2445130000.0, pre
0.13, -0.0244282, 0.023532, 4.22463, 0.112972, -0.410389, -0.904886, -3.77387, 5.10141, 0.112972, 16.0, 52701500000.0, 16.393, 4.44654, 561460000.0, 5049260000.0, during
0.14, -0.128044, 0.0393033, 3.91974, 0.95953, -0.126201, 0.251744, -4.33114, -6.0901, 0.95953, 20.25, 82865400000.0, 20.3286, 7.28589, 1141700000.0, 6921070000.0, during
0.15, -0.00402851, 0.0125682, -1.93827, 0.933838, 0.198475, -0.29758, -8.33234, -1.84525, 0.933838, 23.75, 110378000000.0, 26.2858, 17.1115, 3237970000.0, 7845570000.0, during
0.16, -0.0256557, -0.097144, 14.4274, 0.876668, -0.167227, 0.451097, -6.49625, -0.198463, 0.876668, 29.25, 171142000000.0, 88.2155, 15.5486, 4841600000.0, 13884500000.0, during
0.17, -0.0702847, 0.0948467, -6.10944, 0.774187, -0.375832, 0.509299, -6.73827, -7.7009, 0.774187, 33.75, 218094000000.0, 109.31, 16.0659, 6617330000.0, 17873000000.0, during
0.18, 0.0599577, 0.0446702, 9.04576, 0.654413, -0.460915, 0.599418, 2.90784, -2.2398, 0.654413, 37.5, 253852000000.0, 101.978, 13.1149, 8103730000.0, 20376800000.0, during
0.19, -0.0899158, -0.0882628, 2.8337, 0.523417, -0.368078, 0.768475, 35.7961, 8.87317, 0.523417, 40.25, 266710000000.0, 166.459, 16.735, 9663370000.0, 21719800000.0, during
0.2, 0.238318, 0.0917336, -3.63223, 0.249896, -0.396089, 0.883553, 6.74666, 10.3044, 0.249896, 43.75, 293208000000.0, 318.426, 14.3707, 11704900000.0, 25370200000.0, during
0.21, -0.172064, 0.101449, 2.43757, 0.0520558, -0.470371, 0.880932, -4.30046, 1.71351, 0.0520558, 46.5, 304125000000.0, 409.558, 13.9567, 13879900000.0, 28112600000.0, during
0.22, -0.31412, -0.224521, 15.7656, -0.304354, -0.47724, 0.824385, 16.3297, 14.2341, -0.304354, 53.0, 398011000000.0, 360.692, 24.8402, 16588000000.0, 39235200000.0, post
0.23, 0.051775, 0.00283386, 1.0488, -0.518401, -0.535337, 0.66684, 0.484767, -0.184068, -0.518401, 59.0, 478786000000.0, 170.979, 30.6138, 20272400000.0, 44621500000.0, post
0.24, -0.00108919, 0.0111265, 10.437, -0.204532, -0.969474, -0.135231, -5.8325, -39.5313, -0.204532, 64.25, 532548000000.0, 52.2773, 69.7891, 29168600000.0, 40601100000.0, post
0.25, 0.0786424, -0.0437408, 33.3618, 0.0673629, -0.810816, -0.581411, 29.7729, 25.2027, 0.0673629, 70.5, 630504000000.0, 103.344, 47.3195, 39738400000.0, 39532000000.0, post
0.26, 0.0126043, -0.00865383, 4.52501, 0.261836, -0.878677, -0.39921, -14.4072, 15.6628, 0.261836, 76.25, 712554000000.0, 183.046, 36.9276, 45199500000.0, 41232500000.0, post
0.27, -0.00647087, 0.00362186, 3.67341, 0.629721, -0.737836, -0.243002, -2.24795, 5.36788, 0.629721, 86.25, 925955000000.0, 203.987, 24.003, 49612700000.0, 65015200000.0, post
0.28, 0.228013, 1.87524, -47.8317, 0.728007, 0.463145, 0.505472, 2.78268, 93.3926, 0.728007, 92.5, 1023000000000.0, 1041.0, 27.7608, 55887700000.0, 67462300000.0, post
0.29, 0.66403, 1.75865, -52.2351, 0.663541, 0.347632, 0.662469, -29.3035, 32.3875, 0.663541, 97.0, 1068540000000.0, 1607.2, 25.6666, 58710400000.0, 63147000000.0, post
0.3, -1.29377, -0.279918, -29.4882, 0.734031, 0.40787, 0.542993, 13.0487, 25.6031, 0.734031, 101.75, 1116750000000.0, 1096.97, 19.5363, 59513100000.0, 58845300000.0, post
0.31, -0.269537, 0.350095, -14.9075, 0.846205, 0.420325, 0.327512, 6.0342, 22.6807, 0.846205, 105.75, 1131320000000.0, 738.01, 56.8186, 84795600000.0, 53369600000.0, post
