a, center_x, center_y, center_z, L_x, L_y, L_z, bulk_velocity_x, bulk_velocity_y, bulk_velocity_z, Rvir, Mvir, Lmag, sfr, Mstar, Mgas, compaction_stage
0.1, -0.248146, -0.159279, -13.4608, -0.085719, 0.729144, -0.678971, -12.0451, -18.1261, -0.085719, 5.75, 5232730000.0, 16.5176, 0.156559, 27286900.0, 297108000.0, 297108000.0
0.11, -0.00344813, 0.0108651, -4.06301, -0.960968, -0.163013, 0.223532, 58.422, 27.1378, -0.960968, 7.25, 7405560000.0, 17.255, 0.0560464, 37075000.0, 453260000.0, 453260000.0
0.12, -0.0271532, 0.0196465, -0.378163, -0.959603, 0.0622255, -0.274389, -1.88281, 6.00143, -0.959603, 8.5, 9460360000.0, 3.32537, 0.447024, 66079200.0, 557749000.0, 557749000.0
0.13, -0.147252, -0.153349, 17.5345, -0.155444, 0.756499, 0.635252, -1.46884, -10.5538, -0.155444, 10.5, 14606000000.0, 1.30839, 0.259941, 90169200.0, 843304000.0, 843304000.0
0.14, -0.120634, 0.12682, 6.85154, 0.643242, 0.644714, -0.413018, -32.4263, -20.322, 0.643242, 13.5, 24049600000.0, 35.8689, 0.398808, 130453000.0, 1819750000.0, 1819750000.0
0.15, -0.368871, -0.22056, -19.4102, 0.538019, 0.284471, 0.793481, 19.5715, -6.97943, 0.538019, 15.75, 31284000000.0, 47.2838, 0.155681, 147653000.0, 2586770000.0, 2586770000.0
0.16, -0.189039, -0.444039, 27.6004, -0.46773, -0.410396, 0.782818, -36.5014, -16.0143, -0.46773, 17.75, 36963700000.0, 81.7816, 1.11179, 219074000.0, 3290350000.0, 3290350000.0
0.17, 0.262033, 0.119935, -1.90557, -0.0186711, -0.235299, 0.971744, -10.418, -3.9845, -0.0186711, 20.0, 45150500000.0, 46.262, 1.47563, 327734000.0, 4137780000.0, 4137780000.0
0.18, 0.157421, -0.0897553, 10.7994, 0.815257, -0.566437, 0.120441, 29.7543, 19.6693, 0.815257, 22.0, 49399000000.0, 23.3416, 1.12612, 438306000.0, 4958670000.0, 4958670000.0
0.19, 0.0678598, -0.102891, -0.736011, -0.714762, -0.669405, 0.202516, -26.936, -8.4495, -0.714762, 23.75, 54118800000.0, 45.559, 3.29766, 747304000.0, 5226310000.0, 5226310000.0
