CGM2_Keeney2018_obs
Keeney et al. 2018 https://arxiv.org/pdf/1805.08767.pdf, Danforth et al. 2016 https://arxiv.org/abs/1402.2655, Stocke et al. 2019 https://arxiv.org/pdf/1811.12374.pdf

QSOName,Galaxy_ra,Galaxy_dec,z,r,log Mstar,SF/E,Rvir,log O VI:cdens,log O VI:eb

HE0153-4520,28.8038,-45.1095,0.2252,80,10.9,E,316,14.21,nan
HE0435-5304,69.2233,-53.0046,0.1745,268,9.7,SF,127,13.41,<
HE0435-5304,69.2235,-52.9994,0.2777,310,10.9,E,348,13.41,<
HE0435-5304,69.1922,-52.9882,0.2987,224,10.5,SF,195,13.81,nan
HE0439-5254,70.0340,-52.8056,0.3077,151,10.3,SF,160,14.25,nan
RBS711,129.2405,+44.4472,0.1356,118,9.8,SF,135,14.37,nan
SBS0956+509,149.9346,+50.7391,0.132,290,10.7,E,239,13.21,<
Ton28,150.9891,+28.9187,0.2128,258,11.1,E,434,13.43,nan
PG1115+407,169.5747,+40.4367,0.1312,331,9.3,SF,113,13.98,nan
PG1121+422,171.1117,+42.0100,0.1216,339,10.7,E,238,13.41,<
SBS1122+594,171.4723,+59.1866,0.1498,131,9.7,SF,128,13.41,<
SBS1122+594,171.4552,+59.1661,0.1553,114,9.8,SF,135,14.11,nan
PG1216+069,184.8476,+6.6388,0.1236,92,10.0,SF,144,14.48,nan
SDSSJ133300.83+451809.0,203.2711,+45.3152,0.1586,174,11.1,E,424,13.41,<
SDSSJ133300.83+451809.0,203.2110,+45.3008,0.161,299,10.3,E,173,13.89,nan
CSO1022,208.3590,+36.3339,0.1387,116,10.1,E,154,14.14,nan
QSOB1612+266,243.5310,+26.5564,0.1851,166,10.8,E,302,14.49,nan
PG1626+554,246.9768,+55.3483,0.128,225,10.5,E,199,12.91,<
