CGM2_Tchernyshyov22_obs
Wilde et al. 2021 https://arxiv.org/pdf/2008.08092.pdf

QSOName,Galaxy_ra,Galaxy_dec,z,r,log Mstar,SF/E,Rvir,log O VI:cdens,log O VI:eb

J0226+0015,36.5750,+0.2465,0.2976,309,10.1,E,145,13.53,<
J0226+0015,36.5427,+0.2677,0.3345,354,9.1,SF,99,13.55,<
J0226+0015,36.5508,+0.2517,0.3494,212,9.6,SF,119,13.55,<
J0226+0015,36.5600,+0.2723,0.3619,263,9.3,SF,105,13.53,<
J0226+0015,36.5435,+0.2539,0.5071,396,9.2,SF,99,13.67,<
J0809+4619,122.2563,+46.3416,0.1416,241,9.2,E,107,13.5,<
J0809+4619,122.2568,+46.3176,0.1473,189,8.2,SF,75,13.5,<
J0809+4619,122.2838,+46.3482,0.1993,298,8.3,SF,78,13.44,<
J0809+4619,122.2865,+46.3086,0.2662,232,9.5,SF,118,13.53,<
J0809+4619,122.2812,+46.3161,0.3069,134,9.6,SF,120,14.53,nan
J0809+4619,122.2665,+46.3333,0.3397,276,8.8,SF,90,13.42,<
J0809+4619,122.2665,+46.3200,0.4899,282,9.1,SF,97,13.43,<
J0809+4619,122.3016,+46.3170,0.5152,321,10.8,SF,294,13.76,nan
J0809+4619,122.2720,+46.3291,0.5217,226,9.2,SF,99,13.74,nan
J0809+4619,122.3070,+46.3291,0.5326,393,10.5,E,166,13.42,<
J0809+4619,122.2876,+46.3368,0.5632,320,9.6,SF,111,13.85,nan
J0843+4117,130.9365,+41.3063,0.2857,298,9.9,SF,137,13.82,<
J0843+4117,130.9450,+41.2931,0.2985,142,9.1,SF,101,13.86,<
J0843+4117,130.9750,+41.2756,0.3041,399,8.3,SF,76,13.82,<
J0843+4117,130.9570,+41.3056,0.4552,231,10.4,SF,158,13.64,<
J0843+4117,130.9527,+41.3026,0.4676,178,9.9,SF,125,13.7,<
J0843+4117,130.9505,+41.2825,0.4789,291,9.7,SF,118,13.63,<
J0843+4117,130.9533,+41.2925,0.5323,76,9.8,SF,119,14.22,nan
J0843+4117,130.9543,+41.2976,0.541,73,9.6,SF,111,14.04,nan
J0843+4117,130.9687,+41.3072,0.5786,377,10.6,SF,175,14.2,nan
J0843+4117,130.9731,+41.3035,0.5821,376,10.0,SF,127,13.81,<
J0914+2823,138.6757,+28.4142,0.2282,316,10.6,SF,202,13.66,<
J0914+2823,138.6785,+28.3755,0.3083,315,8.9,SF,94,13.53,<
J0914+2823,138.6895,+28.3853,0.3111,335,8.6,SF,84,13.56,<
J0914+2823,138.6618,+28.3823,0.5998,274,11.1,E,466,13.66,<
J0935+0204,143.8512,+2.0621,0.2086,341,8.7,SF,89,13.74,<
J0935+0204,143.8111,+2.0898,0.2256,321,9.5,SF,117,13.74,<
J0935+0204,143.8089,+2.0688,0.2328,235,8.8,SF,92,14.41,nan
J0935+0204,143.8282,+2.0873,0.3186,285,10.0,SF,138,13.72,<
J0935+0204,143.8101,+2.0829,0.3495,361,9.4,SF,110,13.83,<
J0935+0204,143.8161,+2.0738,0.3557,186,10.7,SF,249,13.76,<
J0935+0204,143.8316,+2.0668,0.4158,146,9.2,SF,101,13.93,nan
J0935+0204,143.8381,+2.0808,0.4247,325,9.4,SF,108,13.73,<
J0935+0204,143.8273,+2.0702,0.5763,42,10.7,E,235,13.84,<
J0943+0531,145.8824,+5.5094,0.4452,340,8.9,SF,90,13.74,<
J1001+5944,150.2553,+59.7380,0.2378,39,9.1,SF,102,13.71,<
J1001+5944,150.2286,+59.7435,0.2824,274,10.8,E,280,13.46,<
J1001+5944,150.2765,+59.7359,0.3741,155,10.4,SF,171,13.39,<
J1001+5944,150.2657,+59.7415,0.4097,100,9.2,SF,101,13.36,<
J1001+5944,150.2626,+59.7383,0.4161,28,10.2,SF,144,14.56,nan
J1001+5944,150.2751,+59.7425,0.594,220,9.8,SF,117,13.52,<
J1016+4706,154.0566,+47.1077,0.1607,267,10.1,E,155,13.73,<
J1016+4706,154.0870,+47.1059,0.1632,81,9.7,SF,129,13.72,<
J1016+4706,154.1035,+47.0838,0.1735,317,8.4,SF,79,13.75,<
J1016+4706,154.1293,+47.1047,0.2197,329,10.5,SF,191,14.3,nan
J1016+4706,154.1103,+47.0924,0.2469,324,10.5,E,188,13.57,<
J1016+4706,154.0798,+47.1071,0.264,166,9.2,SF,105,13.74,<
J1016+4706,154.1027,+47.1173,0.3559,145,9.3,SF,105,14.57,nan
J1016+4706,154.0798,+47.1118,0.4735,215,10.2,SF,142,13.71,<
J1022+0132,155.5869,+1.5164,0.2796,371,10.0,E,139,13.61,<
J1022+0132,155.5679,+1.5308,0.3392,245,9.3,SF,107,13.58,<
J1022+0132,155.5927,+1.5547,0.344,382,9.3,SF,108,13.6,<
J1022+0132,155.5832,+1.5488,0.5976,271,10.5,SF,170,13.75,<
J1059+1441,164.9215,+14.6986,0.2603,250,9.9,SF,136,14.25,nan
J1059+1441,164.9196,+14.6953,0.3279,320,8.8,SF,91,13.51,<
J1059+2517,165.0236,+25.2941,0.2144,350,10.6,SF,215,13.54,<
J1059+2517,164.9954,+25.3033,0.2762,273,8.9,SF,93,13.6,<
J1059+2517,164.9919,+25.2910,0.449,128,9.1,SF,98,13.52,<
J1112+3539,168.1908,+35.6504,0.1433,223,9.6,SF,123,13.83,<
J1112+3539,168.1956,+35.6741,0.1548,310,9.4,SF,116,13.87,<
J1112+3539,168.1662,+35.6301,0.1599,285,8.9,E,95,13.9,<
J1112+3539,168.1397,+35.6420,0.1891,290,8.1,SF,73,13.81,<
J1112+3539,168.1318,+35.6781,0.1984,395,8.6,SF,86,13.78,<
J1112+3539,168.1759,+35.6581,0.2689,161,9.4,SF,113,13.87,<
J1112+3539,168.1488,+35.6596,0.3621,218,9.9,SF,134,13.71,<
J1112+3539,168.1475,+35.6499,0.3718,284,9.2,SF,103,13.68,<
J1112+3539,168.1754,+35.6645,0.4486,258,10.9,E,342,13.77,<
