CGM2_eCGM_obs
Johnson et al. 2015 https://arxiv.org/abs/1505.07838

QSOName,Galaxy_ra,Galaxy_dec,z,r,log Mstar,SF/E,Rvir,log O VI:cdens,log O VI:eb

HE0226-4110,37.0426,-40.9300,0.1248,230,8.8,SF,95,13.17,<
HE0226-4110,37.0865,-40.9471,0.1992,224,9.2,SF,107,13.1,<
HE0226-4110,37.0607,-40.9563,0.2065,37,8.8,SF,91,14.37,nan
HE0226-4110,37.0679,-40.9576,0.2678,75,10.4,E,176,13.14,<
HE0226-4110,37.0933,-40.9497,0.2706,345,10.5,E,187,13.1,<
HE0226-4110,37.0472,-40.9435,0.2804,244,8.7,SF,87,13.07,<
HE0226-4110,37.0390,-40.9624,0.3341,346,9.6,SF,120,13.05,<
HE0226-4110,37.0794,-40.9668,0.3416,310,9.7,SF,125,13.9,nan
PKS0405-123,61.9330,-12.2023,0.1534,195,10.1,SF,152,12.83,<
PKS0405-123,61.9633,-12.1936,0.1672,116,10.5,SF,198,12.85,<
PKS0405-123,61.9279,-12.1922,0.2032,280,10.1,SF,152,12.68,<
PKS0405-123,61.9405,-12.1706,0.2925,399,9.2,SF,104,12.78,<
PKS0405-123,61.9607,-12.2067,0.2978,253,10.2,SF,155,13.61,nan
PKS0405-123,61.9519,-12.2031,0.3422,168,9.7,SF,124,12.64,<
PKS0405-123,61.9445,-12.2047,0.3506,235,10.4,SF,171,12.75,<
PKS0405-123,61.9411,-12.1858,0.3614,235,11.0,SF,397,13.94,nan
LBQS1435-0134,219.4292,-1.7952,0.1384,208,10.4,SF,184,13.81,nan
LBQS1435-0134,219.4565,-1.7844,0.1839,63,8.8,SF,93,14.15,nan
LBQS1435-0134,219.4466,-1.7891,0.2515,75,8.8,SF,90,14.42,nan
LBQS1435-0134,219.4550,-1.8030,0.2715,256,8.6,SF,85,13.24,<
LBQS1435-0134,219.4407,-1.7907,0.2996,182,10.7,E,254,13.12,<
LBQS1435-0134,219.4588,-1.7862,0.3216,127,9.6,SF,117,13.86,nan
LBQS1435-0134,219.4444,-1.7729,0.3923,287,10.2,SF,145,12.93,<
PG1522+101,231.1029,+9.9760,0.1202,11,10.3,SF,174,13.54,<
PG1522+101,231.0943,+10.0194,0.1319,383,8.6,SF,87,13.42,<
PG1522+101,231.0973,+9.9829,0.1391,84,8.3,SF,78,13.62,nan
PG1522+101,231.1121,+9.9586,0.1981,222,8.4,SF,81,13.28,<
PG1522+101,231.1077,+9.9913,0.2217,224,9.9,SF,139,13.23,<
PG1522+101,231.0958,+9.9854,0.2402,169,8.7,SF,90,13.2,<
PG1522+101,231.1090,+9.9542,0.2708,323,8.9,SF,96,13.31,<
PG1522+101,231.1178,+9.9712,0.3059,258,8.5,SF,83,13.22,<
PG1522+101,231.0990,+9.9716,0.3286,75,10.5,SF,179,13.24,<
PG1522+101,231.1208,+9.9687,0.385,365,8.8,SF,89,13.14,<
