CHEN01_Chen01_obs
Chen, Lanzetta, and Webb 2001 https://arxiv.org/pdf/astro-ph/0104403.pdf

z,r,Rvir,log C IV:cdens,log C IV:eb

0.5,12.370324958487364,153.74599679422917,14.355539066480818,0.035341490142435816
0.5,19.500939141069583,153.74599679422917,14.11679151266477,0.0564649635606278
0.5,16.75575702675763,153.74599679422917,13.760627129103128,0.11648472907609797
0.5,26.335564731038676,153.74599679422917,14.32031401755714,0.023517772116593783
0.5,39.23494881606973,153.74599679422917,nan,nan
0.5,59.68203637547546,153.74599679422917,14.277261179983753,0.039298857040781954
0.5,43.79987471152173,153.74599679422917,14.214638870786102,0.01770672091899339
0.5,96.63756059680226,153.74599679422917,nan,nan
0.5,56.06907804078856,153.74599679422917,13.901527324797843,0.10137237839907698
0.5,61.48365683425044,153.74599679422917,13.885871747498431,0.08617199190547886
0.5,49.18814732283129,153.74599679422917,13.737143763154007,0.17444556730909344
0.5,63.90861457500475,153.74599679422917,13.694090925580623,0.041468694039731524
0.5,62.2202133490421,153.74599679422917,13.392721062566924,0.09034900491284681
0.5,142.69478730943385,153.74599679422917,13.56884630718532,0.15987594791167936
0.5,35.9916328862736,153.74599679422917,13.694090925580623,<
0.5,36.63983323912393,153.74599679422917,13.65495198233209,<
0.5,37.63408793595319,153.74599679422917,13.482740632038547,<
0.5,51.89389623208463,153.74599679422917,13.592329673134438,<
0.5,62.590962195483144,153.74599679422917,13.600157461784145,<
0.5,76.16982288350947,153.74599679422917,13.713660397204888,<
0.5,59.32746802784274,153.74599679422917,13.834991121275339,<
0.5,77.5416224410802,153.74599679422917,13.564932412860466,<
0.5,86.30709751134202,153.74599679422917,13.592329673134438,<
0.5,97.79351978045592,153.74599679422917,13.604071356108998,<
0.5,83.2803680168819,153.74599679422917,13.427946111490602,<
0.5,94.36396949755269,153.74599679422917,13.431860005815455,<
0.5,106.92266318431726,153.74599679422917,13.396634956891777,<
0.5,82.54041852680186,153.74599679422917,13.294873704445592,<
0.5,110.80864479069778,153.74599679422917,13.537535152586493,<
0.5,114.83585794327617,153.74599679422917,13.502310103662815,<
0.5,126.68149451773431,153.74599679422917,13.662779770981796,<
0.5,126.68149451773431,153.74599679422917,13.623640827733265,<
0.5,130.1191103524898,153.74599679422917,13.737143763154007,<
0.5,148.75809911678647,153.74599679422917,13.721488185854595,<
0.5,158.34793461641658,153.74599679422917,13.474912843388841,<
0.5,162.6448476699802,153.74599679422917,13.506223997987668,<
0.5,164.1029087538172,153.74599679422917,13.69017703125577,<
0.5,170.0670408281519,153.74599679422917,13.86238838154931,<
0.5,181.0305779742569,153.74599679422917,13.772368812077687,<
0.5,196.17138528726935,153.74599679422917,13.77628270640254,<
0.5,268.09861699034343,153.74599679422917,13.77628270640254,<
0.5,174.68196232672167,153.74599679422917,13.576674095835026,<
0.5,176.24793244483863,153.74599679422917,13.553190729885905,<
0.5,182.65346148092883,153.74599679422917,13.510137892312521,<
0.5,232.42298245944377,153.74599679422917,13.572760201510173,<
0.5,230.3578947148879,153.74599679422917,13.439687794465163,<
0.5,261.0157215682536,153.74599679422917,13.298787598770446,<
0.5,298.40507266692106,153.74599679422917,13.2439930782225,<
0.5,247.4063560125677,153.74599679422917,13.095265093878078,<
