# wavelength[A] tau flux flux_error
2.888000e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888010e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888020e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888030e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888040e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888050e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888060e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888070e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888080e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888090e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888100e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888110e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888120e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888130e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888140e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888150e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888160e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888170e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888180e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888190e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888200e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888210e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888220e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888230e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888240e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888250e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888260e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888270e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888280e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888290e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888300e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888310e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888320e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888330e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888340e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888350e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888360e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888370e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888380e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888390e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888400e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888410e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888420e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888430e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888440e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888450e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888460e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888470e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888480e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888490e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888500e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888510e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888520e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888530e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888540e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888550e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888560e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888570e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888580e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888590e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888600e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888610e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888620e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888630e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888640e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888650e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888660e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888670e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888680e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888690e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888700e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888710e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888720e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888730e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888740e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888750e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888760e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888770e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888780e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888790e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888800e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888810e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888820e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888830e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888840e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888850e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888860e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888870e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888880e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888890e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888900e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888910e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888920e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888930e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888940e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888950e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888960e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888970e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888980e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.888990e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889000e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889010e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889020e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889030e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889040e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889050e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889060e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889070e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889080e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889090e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889100e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889110e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889120e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889130e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889140e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889150e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889160e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889170e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889180e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889190e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889200e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889210e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889220e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889230e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889240e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889250e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889260e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889270e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889280e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889290e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889300e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889310e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889320e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889330e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889340e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889350e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889360e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889370e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889380e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889390e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889400e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889410e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889420e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889430e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889440e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889450e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889460e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889470e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889480e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889490e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889500e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889510e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889520e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889530e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889540e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889550e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889560e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889570e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889580e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889590e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889600e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889610e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889620e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889630e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889640e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889650e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889660e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889670e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889680e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889690e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889700e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889710e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889720e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889730e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889740e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889750e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889760e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889770e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889780e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889790e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889800e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889810e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889820e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889830e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889840e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889850e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889860e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889870e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889880e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889890e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889900e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889910e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889920e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889930e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889940e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889950e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889960e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889970e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889980e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.889990e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.890000e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.890010e+03 0.000000e+00 1.000000e+00 1.000000e-01
