# wavelength[A] tau flux flux_error
2.669000e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669010e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669020e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669030e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669040e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669050e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669060e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669070e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669080e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669090e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669100e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669110e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669120e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669130e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669140e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669150e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669160e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669170e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669180e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669190e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669200e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669210e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669220e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669230e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669240e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669250e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669260e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669270e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669280e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669290e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669300e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669310e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669320e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669330e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669340e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669350e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669360e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669370e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669380e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669390e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669400e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669410e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669420e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669430e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669440e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669450e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669460e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669470e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669480e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669490e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669500e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669510e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669520e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669530e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669540e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669550e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669560e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669570e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669580e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669590e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669600e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669610e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669620e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669630e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669640e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669650e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669660e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669670e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669680e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669690e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669700e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669710e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669720e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669730e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669740e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669750e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669760e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669770e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669780e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669790e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669800e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669810e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669820e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669830e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669840e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669850e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669860e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669870e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669880e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669890e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669900e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669910e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669920e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669930e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669940e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669950e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669960e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669970e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669980e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.669990e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.670000e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.670010e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.670020e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.670030e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.670040e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.670050e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.670060e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.670070e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.670080e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.670090e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.670100e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.670110e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.670120e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.670130e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.670140e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.670150e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.670160e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.670170e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.670180e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.670190e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.670200e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.670210e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.670220e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.670230e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.670240e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.670250e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.670260e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.670270e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.670280e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.670290e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.670300e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.670310e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.670320e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.670330e+03 0.000000e+00 1.000000e+00 1.000000e-01
