# wavelength[A] tau flux flux_error
4.611000e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.611010e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.611020e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.611030e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.611040e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.611050e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.611060e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.611070e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.611080e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.611090e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.611100e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.611110e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.611120e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.611130e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.611140e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.611150e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.611160e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.611170e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.611180e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.611190e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.611200e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.611210e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.611220e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.611230e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.611240e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.611250e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.611260e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.611270e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.611280e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.611290e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.611300e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.611310e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.611320e+03 0.000000e+00 1.000000e+00 1.000000e-01
