# wavelength[A] tau flux flux_error
3.945000e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.945010e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.945020e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.945030e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.945040e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.945050e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.945060e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.945070e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.945080e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.945090e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.945100e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.945110e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.945120e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.945130e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.945140e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.945150e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.945160e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.945170e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.945180e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.945190e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.945200e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.945210e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.945220e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.945230e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.945240e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.945250e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.945260e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.945270e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.945280e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.945290e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.945300e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.945310e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.945320e+03 0.000000e+00 1.000000e+00 1.000000e-01
