# wavelength[A] tau flux flux_error
3.678000e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.678010e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.678020e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.678030e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.678040e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.678050e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.678060e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.678070e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.678080e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.678090e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.678100e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.678110e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.678120e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.678130e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.678140e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.678150e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.678160e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.678170e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.678180e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.678190e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.678200e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.678210e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.678220e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.678230e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.678240e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.678250e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.678260e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.678270e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.678280e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.678290e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.678300e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.678310e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.678320e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.678330e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.678340e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.678350e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.678360e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.678370e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.678380e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.678390e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.678400e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.678410e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.678420e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.678430e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.678440e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.678450e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.678460e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.678470e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.678480e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.678490e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.678500e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.678510e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.678520e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.678530e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.678540e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.678550e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.678560e+03 0.000000e+00 1.000000e+00 1.000000e-01
