# wavelength[A] tau flux flux_error
1.831000e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.831010e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.831020e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.831030e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.831040e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.831050e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.831060e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.831070e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.831080e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.831090e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.831100e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.831110e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.831120e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.831130e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.831140e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.831150e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.831160e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.831170e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.831180e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.831190e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.831200e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.831210e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.831220e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.831230e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.831240e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.831250e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.831260e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.831270e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.831280e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.831290e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.831300e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.831310e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.831320e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.831330e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.831340e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.831350e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.831360e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.831370e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.831380e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.831390e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.831400e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.831410e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.831420e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.831430e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.831440e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.831450e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.831460e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.831470e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.831480e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.831490e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.831500e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.831510e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.831520e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.831530e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.831540e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.831550e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.831560e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.831570e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.831580e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.831590e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.831600e+03 0.000000e+00 1.000000e+00 1.000000e-01
