# wavelength[A] tau flux flux_error
2.268000e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268010e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268020e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268030e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268040e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268050e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268060e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268070e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268080e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268090e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268100e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268110e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268120e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268130e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268140e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268150e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268160e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268170e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268180e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268190e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268200e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268210e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268220e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268230e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268240e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268250e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268260e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268270e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268280e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268290e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268300e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268310e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268320e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268330e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268340e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268350e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268360e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268370e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268380e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268390e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268400e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268410e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268420e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268430e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268440e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268450e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268460e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268470e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268480e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268490e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268500e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268510e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268520e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268530e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268540e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268550e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268560e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268570e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268580e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268590e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268600e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268610e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268620e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268630e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268640e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268650e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268660e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268670e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268680e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268690e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268700e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268710e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268720e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268730e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268740e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268750e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268760e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268770e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268780e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268790e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268800e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268810e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268820e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.268830e+03 0.000000e+00 1.000000e+00 1.000000e-01
