# wavelength[A] tau flux flux_error
1.352000e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.352010e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.352020e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.352030e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.352040e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.352050e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.352060e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.352070e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.352080e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.352090e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.352100e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.352110e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.352120e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.352130e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.352140e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.352150e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.352160e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.352170e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.352180e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.352190e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.352200e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.352210e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.352220e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.352230e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.352240e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.352250e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.352260e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.352270e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.352280e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.352290e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.352300e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.352310e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.352320e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.352330e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.352340e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.352350e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.352360e+03 0.000000e+00 1.000000e+00 1.000000e-01
