# wavelength[A] tau flux flux_error
1.673000e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673010e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673020e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673030e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673040e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673050e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673060e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673070e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673080e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673090e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673100e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673110e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673120e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673130e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673140e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673150e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673160e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673170e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673180e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673190e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673200e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673210e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673220e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673230e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673240e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673250e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673260e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673270e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673280e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673290e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673300e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673310e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673320e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673330e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673340e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673350e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673360e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673370e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673380e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673390e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673400e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673410e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673420e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673430e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673440e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673450e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673460e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673470e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673480e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673490e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673500e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673510e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673520e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673530e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673540e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673550e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673560e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673570e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673580e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673590e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673600e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673610e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673620e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673630e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673640e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673650e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673660e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673670e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673680e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673690e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673700e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673710e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673720e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673730e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673740e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673750e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673760e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673770e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673780e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673790e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673800e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673810e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673820e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673830e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673840e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673850e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673860e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673870e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673880e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673890e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673900e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673910e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673920e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673930e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673940e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.673950e+03 0.000000e+00 1.000000e+00 1.000000e-01
