# wavelength[A] tau flux flux_error
2.064000e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064010e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064020e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064030e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064040e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064050e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064060e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064070e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064080e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064090e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064100e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064110e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064120e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064130e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064140e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064150e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064160e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064170e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064180e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064190e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064200e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064210e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064220e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064230e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064240e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064250e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064260e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064270e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064280e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064290e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064300e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064310e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064320e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064330e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064340e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064350e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064360e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064370e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064380e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064390e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064400e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064410e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064420e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064430e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064440e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064450e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064460e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064470e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064480e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064490e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064500e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064510e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064520e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064530e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064540e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064550e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064560e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064570e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064580e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064590e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064600e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064610e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064620e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064630e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064640e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064650e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064660e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064670e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064680e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064690e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064700e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064710e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064720e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064730e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064740e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064750e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064760e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064770e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064780e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064790e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064800e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064810e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064820e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064830e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064840e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064850e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064860e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064870e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064880e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064890e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064900e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064910e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064920e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064930e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064940e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064950e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064960e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064970e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064980e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.064990e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.065000e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.065010e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.065020e+03 0.000000e+00 1.000000e+00 1.000000e-01
