# wavelength[A] tau flux flux_error
2.460000e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.460010e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.460020e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.460030e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.460040e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.460050e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.460060e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.460070e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.460080e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.460090e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.460100e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.460110e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.460120e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.460130e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.460140e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.460150e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.460160e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.460170e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.460180e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.460190e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.460200e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.460210e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.460220e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.460230e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.460240e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.460250e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.460260e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.460270e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.460280e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.460290e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.460300e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.460310e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.460320e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.460330e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.460340e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.460350e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.460360e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.460370e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.460380e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.460390e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.460400e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.460410e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.460420e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.460430e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.460440e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.460450e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.460460e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.460470e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.460480e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.460490e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.460500e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.460510e+03 0.000000e+00 1.000000e+00 1.000000e-01
