# wavelength[A] tau flux flux_error
2.320000e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.320010e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.320020e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.320030e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.320040e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.320050e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.320060e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.320070e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.320080e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.320090e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.320100e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.320110e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.320120e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.320130e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.320140e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.320150e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.320160e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.320170e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.320180e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.320190e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.320200e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.320210e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.320220e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.320230e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.320240e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.320250e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.320260e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.320270e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.320280e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.320290e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.320300e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.320310e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.320320e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.320330e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.320340e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.320350e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.320360e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.320370e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.320380e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.320390e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.320400e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.320410e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.320420e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.320430e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.320440e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.320450e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.320460e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.320470e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.320480e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.320490e+03 0.000000e+00 1.000000e+00 1.000000e-01
