# wavelength[A] tau flux flux_error
2.924000e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924010e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924020e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924030e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924040e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924050e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924060e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924070e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924080e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924090e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924100e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924110e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924120e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924130e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924140e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924150e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924160e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924170e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924180e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924190e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924200e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924210e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924220e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924230e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924240e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924250e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924260e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924270e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924280e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924290e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924300e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924310e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924320e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924330e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924340e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924350e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924360e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924370e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924380e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924390e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924400e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924410e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924420e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924430e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924440e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924450e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924460e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924470e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924480e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924490e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924500e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924510e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924520e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924530e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924540e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924550e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924560e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924570e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924580e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924590e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924600e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924610e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924620e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924630e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924640e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924650e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924660e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924670e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924680e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924690e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924700e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924710e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924720e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924730e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924740e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924750e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924760e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924770e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924780e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924790e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924800e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924810e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924820e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924830e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924840e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924850e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924860e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924870e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924880e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924890e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924900e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924910e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924920e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924930e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924940e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924950e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924960e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924970e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924980e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.924990e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.925000e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.925010e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.925020e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.925030e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.925040e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.925050e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.925060e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.925070e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.925080e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.925090e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.925100e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.925110e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.925120e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.925130e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.925140e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.925150e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.925160e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.925170e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.925180e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.925190e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.925200e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.925210e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.925220e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.925230e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.925240e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.925250e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.925260e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.925270e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.925280e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.925290e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.925300e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.925310e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.925320e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.925330e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.925340e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.925350e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.925360e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.925370e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.925380e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.925390e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.925400e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.925410e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.925420e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.925430e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.925440e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.925450e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.925460e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.925470e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.925480e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.925490e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.925500e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.925510e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.925520e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.925530e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.925540e+03 0.000000e+00 1.000000e+00 1.000000e-01
2.925550e+03 0.000000e+00 1.000000e+00 1.000000e-01
