# wavelength[A] tau flux flux_error
3.578000e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.578010e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.578020e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.578030e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.578040e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.578050e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.578060e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.578070e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.578080e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.578090e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.578100e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.578110e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.578120e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.578130e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.578140e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.578150e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.578160e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.578170e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.578180e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.578190e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.578200e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.578210e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.578220e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.578230e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.578240e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.578250e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.578260e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.578270e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.578280e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.578290e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.578300e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.578310e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.578320e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.578330e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.578340e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.578350e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.578360e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.578370e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.578380e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.578390e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.578400e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.578410e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.578420e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.578430e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.578440e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.578450e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.578460e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.578470e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.578480e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.578490e+03 0.000000e+00 1.000000e+00 1.000000e-01
3.578500e+03 0.000000e+00 1.000000e+00 1.000000e-01
