# wavelength[A] tau flux flux_error
5.384000e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384010e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384020e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384030e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384040e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384050e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384060e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384070e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384080e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384090e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384100e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384110e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384120e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384130e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384140e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384150e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384160e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384170e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384180e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384190e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384200e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384210e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384220e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384230e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384240e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384250e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384260e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384270e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384280e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384290e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384300e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384310e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384320e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384330e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384340e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384350e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384360e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384370e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384380e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384390e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384400e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384410e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384420e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384430e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384440e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384450e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384460e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384470e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384480e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384490e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384500e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384510e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384520e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384530e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384540e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384550e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384560e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384570e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384580e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384590e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384600e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384610e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384620e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384630e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384640e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384650e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384660e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384670e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384680e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384690e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384700e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384710e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384720e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384730e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384740e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384750e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384760e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384770e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384780e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384790e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384800e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384810e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384820e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384830e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384840e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384850e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384860e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384870e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384880e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384890e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384900e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384910e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384920e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384930e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384940e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384950e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384960e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384970e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384980e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.384990e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.385000e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.385010e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.385020e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.385030e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.385040e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.385050e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.385060e+03 0.000000e+00 1.000000e+00 1.000000e-01
5.385070e+03 0.000000e+00 1.000000e+00 1.000000e-01
