# wavelength[A] tau flux flux_error
4.167000e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.167010e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.167020e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.167030e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.167040e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.167050e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.167060e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.167070e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.167080e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.167090e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.167100e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.167110e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.167120e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.167130e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.167140e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.167150e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.167160e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.167170e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.167180e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.167190e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.167200e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.167210e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.167220e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.167230e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.167240e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.167250e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.167260e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.167270e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.167280e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.167290e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.167300e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.167310e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.167320e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.167330e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.167340e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.167350e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.167360e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.167370e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.167380e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.167390e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.167400e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.167410e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.167420e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.167430e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.167440e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.167450e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.167460e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.167470e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.167480e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.167490e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.167500e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.167510e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.167520e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.167530e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.167540e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.167550e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.167560e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.167570e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.167580e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.167590e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.167600e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.167610e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.167620e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.167630e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.167640e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.167650e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.167660e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.167670e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.167680e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.167690e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.167700e+03 0.000000e+00 1.000000e+00 1.000000e-01
4.167710e+03 0.000000e+00 1.000000e+00 1.000000e-01
