# wavelength[A] tau flux flux_error
1.454000e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.454010e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.454020e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.454030e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.454040e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.454050e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.454060e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.454070e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.454080e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.454090e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.454100e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.454110e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.454120e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.454130e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.454140e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.454150e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.454160e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.454170e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.454180e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.454190e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.454200e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.454210e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.454220e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.454230e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.454240e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.454250e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.454260e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.454270e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.454280e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.454290e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.454300e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.454310e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.454320e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.454330e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.454340e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.454350e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.454360e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.454370e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.454380e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.454390e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.454400e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.454410e+03 0.000000e+00 1.000000e+00 1.000000e-01
